"BTR#3","","","","","","","","","","","","","","※枚数表記は兼用を除いたカット数になります　※工数日は目安のため前後する場合があります","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BTR#3","","工\n数\n(H)","","プルダウン➡","","","撒\n済","納\n品","３\nD","LO\n場所","","","工\n数\n(H)","","プルダウン➡","","","撒\n済","納\n品","３\nD","LO\n場所","","","工\n数\n(H)","","プルダウン➡","","","撒\n済","納\n品","３\nD","LO\n場所","","","工\n数\n(H)","","プルダウン➡","","","撒\n済","納\n品","３\nD","LO\n場所","","","工\n数\n(H)","","プルダウン➡","","","撒\n済","納\n品","３\nD","LO\n場所"
"制作進行：CLW　●●さん","","","","","","工数（日）/描き枚数","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NO","兼用","","場所","備考","時間","照明","","","","","NO","兼用","","場所","備考","時間","照明","","","","","NO","兼用","","場所","備考","時間","照明","","","","","NO","兼用","","場所","備考","時間","照明","","","","","NO","兼用","","場所","備考","時間","照明","","","",""
"","スターリー_ライブハウス","T1済","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","4","","","","","","","","","70","","4","","","","","","","","","120","","","","全セル","","","","","","","170","","3","","","","","","","","","220","","3","","","","","","","",""
"","スターリー_入口","T1済","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","4","","","","","","","","","71","","4","","","","","","","","","121","","4","イメージ","","","","","","","","171","","3","","","","off","","","","","221","","3","","","","","","","",""
"","イメージ_シャボン玉","T1済","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","2","イメージ","","","","","","","","72","","4","","","","","","","","","122","","4","","","","","","","","","172","","","","欠","","","","","","","222","","3","","","","","","","",""
"","スターリー_入口_外観","T1済","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","4","","","","","","","","","73","","4","","","","","","","","","123","","4","","","","","","","","","173","","3","","","","","","","","","223","","3","","","","","","","",""
"","スターリー_練習スタジオ","T1済","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","4","","","","","","","","","74","/78/91","4","","","","","","","","","124","","4","","","","","","","","","174","/157","3","","","","","","","","","224","","3","イメージ","","","","","","",""
"","欠番、Bank、全セル","T1済","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","","イメージ","全セル","","","","","","","75","/77/82","4","","","","","","","","","125","/118","4","","","","","","","","","175","","3","","","","","","","","","225","","3","","","","","","","",""
"","_素材作業","T1済","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","/32","4","秀華高校_廊下_荷物置き場","43cut","昼","off","","","","","76","","4","","","","","","","","","126","/129","4","","","","","","","","","176","/168","3","","","","","","","","","226","/228","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","4","","","","","","","","","77","/75/82","4","","","","","","","","","127","","4","","","","","","","","","177","","","","欠","","","","","","","227","","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","4","","","","","","","","","78","/74/91","4","","","","","","","","","128","","4","","","","","","","","","178","","3","","","","","","","","","228","/226","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","4","","","","","","","","","79","/84","4","","","","","","","","","129","/126","4","","","","","","","","","179","","3","","","","","","","","","229","","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30bg1","","2","イメージ_教室","","","","","","","","80","","","イメージ","全セル","","","","","","","130","","4","","","","","","","","","180","","","","欠","","","","","","","230","","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30bg2","","2","イメージ","","","","","","","","81","","4","","","","","","","","","131","","4","","","","","","","","","181","","3","","","","","","","","","231","","3","スターリー_入口_外観","","夜","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","","","欠","","","","","","","82","/75/77","4","","","","","","","","","132","","4","","","","","","","","","182","","3","","","","","","","","","232","","3","","","昼","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","/26","4","","","","","","","","","83","","4","","","","","","","","","133","","4","","","","","","","","","183","","3","","","","","","","","","233","/235","3","スターリー_練習スタジオ","","ー","on","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","4","","","","","","","","","84","/79","4","","","","","","","","","134","","4","","","","","","","","","184","","","","BANK","","","","","","","234","","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","4","","","","","","","","","85","","4","","","","","","","","","135","","4","イメージ","","","","","","","","185","","3","","トイレ、台所消灯","","on","","","","","235","/233","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","4","","","","","","","","","86","","4","","","","","","","","","136","","4","","","","","","","","","186","","3","","","","","","","","","236","/241","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","2","イメージ_ステージ","","","","","","","","87","","4","","","","","","","","","137","","4","","","","","","","","","187","","3","","","","","","","","","237","","3","","","","","","","",""
"以下の行より塗りつぶし設定","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","","2","イメージ_ステージ","","","","","","","","88","/90","4","","","","","","","","","138","","4","","","","","","","","","188","","3","","","","","","","","","238","","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","","","イメージ","全セル","","","","","","","89","","4","","","","","","","","","139","","","","","","","","","","","189","","3","","","","","","","","","239","","3","イメージ","","","","","","",""
"原図チェック塗りつぶし色設定（No列）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","4","","","","","","","","","90","/88","4","","","","","","","","","140","","3","","","","","","","","","190","","3","","","","","","","","","240","","3","イメージ","","","","","","",""
